7.072407996198948332e-02, 6.621884138025779798e-03, 3.816648448347493838e-01
3.258275914208619284e-01, 7.769007426488209189e-01, 4.796011003898276170e-01
6.911351565658196971e-01, 4.520296651262741827e-01, 6.393011998227029480e-01
6.123480795590822146e-01, 8.441464375600391534e-01, 8.905397884400312325e-01
4.150573679694045115e-01, 5.276015202923799441e-01, 6.278902875862578670e-01
5.893022713952789093e-02, 5.069870844918122899e-02, 2.938890243011601511e-01
9.133305579403186991e-01, 6.150886197593150584e-01, 6.791246110799319391e-01
3.896384550270312053e-01, 2.654387674542724174e-02, 5.652610609272257225e-01
9.890594493762501216e-01, 5.540456593214549974e-01, 3.905744501487874443e-01
8.171072453874380637e-01, 9.668813826622272289e-01, 1.740413239360166786e-01
2.328291259109717126e-01, 4.133595656684976305e-01, 4.108416678238651087e-01
8.973698474392500790e-01, 3.350799155637774751e-01, 4.056348563480643987e-01
6.796823600356433071e-01, 5.371623278826008763e-01, 5.561180541282929601e-01
4.433475110942848296e-01, 7.119131545092093338e-01, 9.163231202696064948e-01
2.003734890832173932e-01, 5.907007147500507038e-01, 9.510731153031467544e-01
